infection_prob,recovery_prob,initial_density,final_infection_rate,avg_infection_rate,avg_steps,avg_agent_a_reward,avg_agent_b_reward
0.7,0.5,0.5,0.0,0.1456037524366472,29.4,105.424,-48.624
0.7,0.5,0.7,0.0,0.10062085294016329,41.4,125.17999999999998,-44.380000000000024
0.8,0.05,0.3,0.95,0.9411166666666666,121.0,2484.5480000000002,-2244.5480000000002
0.8,0.05,0.5,0.97,0.9602000000000002,98.2,2061.7519999999986,-1867.3519999999978
0.8,0.05,0.7,0.97,0.9594217948717949,84.4,1761.8039999999987,-1595.0039999999985
0.8,0.1,0.3,0.932,0.9253142857142859,106.8,2146.495999999999,-1934.8959999999993
0.8,0.1,0.5,0.8779999999999999,0.8913666666666668,121.0,2353.2079999999996,-2113.2079999999996
0.8,0.1,0.7,0.868,0.8831,121.0,2331.3840000000005,-2091.3840000000005
0.8,0.15,0.3,0.82,0.8305333333333333,121.0,2192.608000000001,-1952.6080000000009
0.8,0.15,0.5,0.77,0.7882,121.0,2080.8480000000004,-1840.8480000000004
0.8,0.15,0.7,0.818,0.8227166666666668,121.0,2171.972000000001,-1931.9720000000004
0.8,0.3,0.3,0.20400000000000001,0.2607388888888889,115.0,683.0120000000002,-455.01200000000006
0.8,0.3,0.5,0.25000000000000006,0.31428333333333336,121.0,829.7079999999999,-589.7079999999999
0.8,0.3,0.7,0.27,0.3649693548387097,115.6,950.796,-721.5960000000001
0.8,0.4,0.3,0.008,0.11961164074825334,58.8,246.7959999999999,-131.19599999999997
0.8,0.4,0.5,0.006,0.12960690500338065,60.0,232.2759999999999,-114.27600000000004
0.8,0.4,0.7,0.041999999999999996,0.14154102564102566,66.4,256.52,-125.71999999999996
0.8,0.5,0.3,0.0,0.09321436925647451,48.8,123.19999999999997,-27.600000000000012
0.8,0.5,0.5,0.0,0.1143782306737128,34.8,131.824,-64.22399999999999
0.8,0.5,0.7,0.024,0.10689060175794454,41.8,143.92400000000004,-62.324000000000055
